sighting_id,species,latitude,longitude,year,month
7660,Humpback Whale,44.74944,-124.072,2014,Sep
7783,Humpback Whale,38.11183,-123.588,2014,Aug
7786,Humpback Whale,37.80955,-122.706,2014,Sep
7962,Humpback Whale,37.84642,-122.624,2014,Sep
7963,Humpback Whale,36.64,-121.9,2014,Sep
7963,Humpback Whale,36.64,-121.9,2014,Sep
7963,Humpback Whale,36.64,-121.9,2014,Sep
8073,Humpback Whale,37.78033,-122.651,2014,Sep
8073,Humpback Whale,37.78033,-122.651,2014,Sep
8073,Humpback Whale,37.78033,-122.651,2014,Sep
8084,Humpback Whale,34.33548,-119.507,2014,Sep
8084,Humpback Whale,34.33548,-119.507,2014,Sep
8244,Humpback Whale,38.11183,-123.588,2014,Aug
8259,Humpback Whale,37.8057,-123.208,2014,Sep
8298,Humpback Whale,37.73879,-122.541,2014,Sep
8557,Humpback Whale,37.80589,-123.203,2014,Sep
8560,Humpback Whale,37.80633,-123.185,2014,Sep
8559,Humpback Whale,37.80542,-123.2,2014,Sep
8559,Humpback Whale,37.80542,-123.2,2014,Sep
9095,Humpback Whale,37.80589,-123.203,2014,Sep
9096,Humpback Whale,37.80542,-123.2,2014,Sep
9096,Humpback Whale,37.80542,-123.2,2014,Sep
9097,Humpback Whale,37.80633,-123.185,2014,Sep
9100,Humpback Whale,37.72983,-122.683,2014,Sep
9101,Humpback Whale,37.72983,-122.683,2014,Sep
9115,Humpback Whale,37.98901,-123.432,2014,Sep
9115,Humpback Whale,37.98901,-123.432,2014,Sep
9118,Humpback Whale,34.31161,-119.524,2014,Sep
9121,Humpback Whale,37.80542,-123.2,2014,Sep
9121,Humpback Whale,37.80542,-123.2,2014,Sep
9122,Humpback Whale,37.80589,-123.203,2014,Sep
9123,Humpback Whale,37.80633,-123.185,2014,Sep
9766,Humpback Whale,37.80633,-123.185,2014,Sep
9768,Humpback Whale,37.80589,-123.203,2014,Sep
9770,Humpback Whale,37.80542,-123.2,2014,Sep
9770,Humpback Whale,37.80542,-123.2,2014,Sep
9796,Humpback Whale,37.80633,-123.185,2014,Sep
9797,Humpback Whale,37.80542,-123.2,2014,Sep
9797,Humpback Whale,37.80542,-123.2,2014,Sep
9800,Humpback Whale,37.80589,-123.203,2014,Sep
9828,Humpback Whale,36.80067,-121.902,2014,Oct
9828,Humpback Whale,36.80067,-121.902,2014,Oct
9828,Humpback Whale,36.80067,-121.902,2014,Oct
9828,Humpback Whale,36.80067,-121.902,2014,Oct
9830,Humpback Whale,36.74714,-121.965,2014,Oct
9830,Humpback Whale,36.74714,-121.965,2014,Oct
9831,Humpback Whale,36.74714,-121.965,2014,Oct
9831,Humpback Whale,36.74714,-121.965,2014,Oct
9832,Humpback Whale,36.79194,-121.896,2014,Oct
9832,Humpback Whale,36.79194,-121.896,2014,Oct
9832,Humpback Whale,36.79194,-121.896,2014,Oct
9832,Humpback Whale,36.79194,-121.896,2014,Oct
9832,Humpback Whale,36.79194,-121.896,2014,Oct
9833,Humpback Whale,36.71859,-121.895,2014,Oct
9834,Humpback Whale,36.6579,-121.893,2014,Oct
9834,Humpback Whale,36.6579,-121.893,2014,Oct
9839,Humpback Whale,34.12397,-119.556,2014,Oct
9839,Humpback Whale,34.12397,-119.556,2014,Oct
9948,Humpback Whale,37.98901,-123.432,2014,Sep
9948,Humpback Whale,37.98901,-123.432,2014,Sep
10066,Humpback Whale,36.95018,-122.045,2014,Oct
10066,Humpback Whale,36.95018,-122.045,2014,Oct
10066,Humpback Whale,36.95018,-122.045,2014,Oct
10066,Humpback Whale,36.95018,-122.045,2014,Oct
10066,Humpback Whale,36.95018,-122.045,2014,Oct
10066,Humpback Whale,36.95018,-122.045,2014,Oct
10069,Humpback Whale,37.80633,-123.185,2014,Sep
10071,Humpback Whale,37.80542,-123.2,2014,Sep
10071,Humpback Whale,37.80542,-123.2,2014,Sep
10072,Humpback Whale,37.80589,-123.203,2014,Sep
10095,Humpback Whale,36.95018,-122.045,2014,Oct
10095,Humpback Whale,36.95018,-122.045,2014,Oct
10095,Humpback Whale,36.95018,-122.045,2014,Oct
10095,Humpback Whale,36.95018,-122.045,2014,Oct
10095,Humpback Whale,36.95018,-122.045,2014,Oct
10095,Humpback Whale,36.95018,-122.045,2014,Oct
10096,Humpback Whale,48.23432,-123.329,2014,Oct
10096,Humpback Whale,48.23432,-123.329,2014,Oct
10096,Humpback Whale,48.23432,-123.329,2014,Oct
10096,Humpback Whale,48.23432,-123.329,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10335,Humpback Whale,45.7929,-129.039,2014,Oct
10814,Fin Whale,33.39238,-117.607,2014,Nov
10817,Fin Whale,33.38828,-118.33,2014,Nov
